Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,One-Way Road,No Injury,Clear,Other,Front Left,15-24,Other,Male,Other,Other,Other,Other,21-30 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,One-Way Road,Severe,Rain/Fog/Sleet/Snow,Other,Rear ,45-54,Distracted,Male,Other,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Unknown,45-54,Unknown,Unknown,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front ,45-54,Distracted,Male,Other,White Dashed Line,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Rear ,15-24,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Barrier,No Injury,Clear,Street/Lane/Road,Front ,35-44,Impaired,Male,Other,White Dashed Line,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Curve-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Total,15-24,Fatigued/Illness,Female,Other,Other,No Controls,Driver Condition,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Residential ,Other,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Front Left,35-44,Unknown,Unknown,Other,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Moderate,Clear,Street/Lane/Road,Unknown,15-24,Unknown,Male,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Cloudy,Street/Lane/Road,Unknown,15-24,Unknown,Unknown,Other,Signal ,Unknown,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,One-Way Road,No Injury,Cloudy,Street/Lane/Road,Other,25-34,Unknown,Male,Other,Other,No Controls,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,25-34,Normal,Male,Other,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Other,Daylight,Residential ,Head-On,One-Way Road,No Injury,Clear,Other,Front Left,25-34,Normal,Female,Normal Movement,Other,No Controls,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Movement Prior To Crash,Dark - Street Light At Intersection Only,Business,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,None,25-34,Normal,Female,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Off-peak,Other,Unknown,Other,Daylight,Other,Other,Other,Moderate,Other,Street/Lane/Road,Unknown,15-24,Unknown,Unknown,Other,Other,Unknown,Other,20 mph or less
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,One-Way Road,Moderate,Clear,Other,Front ,15-24,Normal,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Off-peak,Partial Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Barrier,Complaint,Clear,Street/Lane/Road,Front ,45-54,Unknown,Unknown,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,15-24,Impaired,Male,Driver Condition,Other,No Controls,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Unknown,25-34,Unknown,Unknown,Driver Violation,Other,Unknown,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,35-44,Unknown,Unknown,Other,Other,Unknown,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Rear ,35-44,Normal,Female,Normal Movement,Sign,No Controls,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Severe,Clear,Other,Front ,25-34,Other,Male,Driver Violation,Other,No Controls,Driver Error,41-50 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Other,One-Way Road,Moderate,Clear,Street/Lane/Road,Other,25-34,Unknown,Female,Driver Violation,Other,No Controls,Other,20 mph or less
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,Moderate,Clear,Street/Lane/Road,Other,35-44,Normal,Male,Normal Movement,Other,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Other,One-Way Road,No Injury,Clear,Other,Other,45-54,Unknown,Unknown,Other,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,Full Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Complaint,Clear,Other,Front ,35-44,Unknown,Unknown,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,One-Way Road,No Injury,Clear,Other,Other,45-54,Other,Unknown,Driver Violation,Sign,Controls Functioning,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,Moderate,Clear,Street/Lane/Road,Other,15-24,Unknown,Unknown,Other,Other,Unknown,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Street/Lane/Road,Other,25-34,Distracted,Male,Driver Violation,Other,No Controls,Other,41-50 mph
Peak,No Control,On Grade,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Front ,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - No Street Lights,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Severe,Clear,Street/Lane/Road,Unknown,15-24,Unknown,Unknown,Other,Other,Unknown,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Unknown,25-34,Unknown,Male,Other,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Unknown,35-44,Unknown,Unknown,Other,Yellow No Passing Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Hillcrest,Violations,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Other,35-44,Unknown,Unknown,Other,Sign,Other,Driver Error,51-60 mph
Off-peak,No Control,Hillcrest,Violations,Dark - No Street Lights,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,None,45-54,Unknown,Unknown,Other,Yellow No Passing Line,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Rear End,One-Way Road,No Injury,Clear,Avenue,Front ,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Hillcrest,Violations,Daylight,Business,Rear End,Two-Way Road With A Physical Barrier,No Injury,Clear,Street/Lane/Road,Rear ,15-24,Normal,Male,Other,Signal ,Controls Functioning,No Violations,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Other,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dusk/Dawn,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Fatigued/Illness,Male,Other,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Other,Business,Other,Two-Way Road With No Physical Separation,No Injury,Other,Street/Lane/Road,Unknown,65-74,Unknown,Unknown,Other,Sign,Controls Functioning,Other,21-30 mph
Off-peak,Partial Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Head-On,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,25-34,Unknown,Unknown,Driver Violation,Other,No Controls,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Curve-Level,Violations,Other,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Under Carriage,15-24,Unknown,Unknown,Other,Other,No Controls,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,15-24,Distracted,Female,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Right ,45-54,Distracted,Female,Driver Condition,Signal ,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Severe,Clear,Drive,Front ,35-44,Fatigued/Illness,Female,Driver Condition,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front Left,55-64,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Avenue,Front ,15-24,Distracted,Male,Other,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,One-Way Road,Severe,Clear,Street/Lane/Road,Top Carriage,75-Inf,Unknown,Male,Normal Movement,Other,Controls Functioning,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Avenue,Front ,25-34,Impaired,Male,Driver Condition,Sign,Other,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,None,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Avenue,Front ,25-34,Unknown,Male,Other,Other,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,Complaint,Cloudy,Other,Front ,15-24,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,31-40 mph
Off-peak,Full Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,55-64,Normal,Unknown,Other,White Dashed Line,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Left Turn,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,25-34,Normal,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front Left,55-64,Impaired,Male,Driver Condition,Other,No Controls,Driver Condition,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,15-24,Normal,Female,Other,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,25-34,Normal,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,20 mph or less
Off-peak,Partial Control,Straight-Level,Other,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Front ,35-44,Normal,Male,Other,Yellow No Passing Line,Controls Functioning,No Violations,51-60 mph
Peak,No Control,Straight-Level,Condition Of Driver,Other,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Distracted,Male,Normal Movement,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,Complaint,Cloudy,Other,Left,65-74,Unknown,Female,Other,Signal ,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Other,Other,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front ,45-54,Unknown,Female,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Other,35-44,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,55-64,Other,Male,Driver Condition,Other,No Controls,Driver Error,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Drive,Rear ,45-54,Distracted,Female,Driver Violation,Sign,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Other,Front ,75-Inf,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Other,Daylight,Other,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Male,Other,Other,No Controls,Vehicle Condition,20 mph or less
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,None,55-64,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Front ,15-24,Normal,Female,Normal Movement,Other,No Controls,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With A Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front Left,35-44,Normal,Female,Normal Movement,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,Other,Straight-Level,Other,Other,Business,Head-On,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,55-64,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Turn,Two-Way Road With A Physical Barrier,No Injury,Clear,Other,Front Left,35-44,Distracted,Male,Other,Signal ,Controls Functioning,Other,21-30 mph
Off-peak,Full Control,Straight-Level,Movement Prior To Crash,Dark - No Street Lights,Other,Sideswipe,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Front ,25-34,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,35-44,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Other,Front Left,25-34,Normal,Male,Normal Movement,Yellow No Passing Line,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Highway,Front ,45-54,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,One-Way Road,No Injury,Clear,Other,Rear ,25-34,Distracted,Male,Normal Movement,Other,No Controls,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,One-Way Road,No Injury,Clear,Other,Front ,25-34,Normal,Female,Normal Movement,Sign,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,15-24,Normal,Female,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Rear ,35-44,Normal,Male,Normal Movement,Signal ,Controls Functioning,Other,41-50 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,Moderate,Clear,Avenue,Total,15-24,Unknown,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,Complaint,Clear,Other,Unknown,15-24,Distracted,Male,Driver Violation,Sign,Unknown,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Moderate,Clear,Street/Lane/Road,Rear ,25-34,Normal,Male,Driver Violation,Sign,Controls Functioning,Driver Error,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Barrier,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,45-54,Normal,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,65-74,Normal,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,55-64,Distracted,Male,Other,Other,No Controls,No Violations,20 mph or less
Off-peak,No Control,Hillcrest,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Right ,55-64,Normal,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Severe,Rain/Fog/Sleet/Snow,Other,Front ,75-Inf,Distracted,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,None,35-44,Distracted,Male,Normal Movement,Other,Other,Other,31-40 mph
Peak,Partial Control,Other,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Other,Rear ,65-74,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front Left,25-34,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Condition,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Other,Two-Way Road With A Physical Separation,Moderate,Clear,Street/Lane/Road,Front ,25-34,Impaired,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Front ,15-24,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Other,Left Turn,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,35-44,Distracted,Female,Driver Violation,Yellow No Passing Line,Other,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front Left,65-74,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,Severe,Clear,Other,Left,15-24,Normal,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Front ,45-54,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Other,55-64,Distracted,Male,Other,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With A Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front Left,45-54,Normal,Male,Normal Movement,White Dashed Line,Controls Functioning,No Violations,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Rear ,15-24,Distracted,Male,Driver Condition,Other,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,15-24,Fatigued/Illness,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,35-44,Unknown,Male,Driver Violation,Other,No Controls,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Head-On,One-Way Road,Complaint,Clear,Avenue,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,Complaint,Clear,Other,Right ,75-Inf,Distracted,Male,Other,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Rear ,35-44,Distracted,Male,Normal Movement,Other,No Controls,Driver Condition,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,45-54,Normal,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,Full Control,Curve-Level,Violations,Dark - Continuous Street Light,Other,Head-On,One-Way Road,Moderate,Rain/Fog/Sleet/Snow,Other,Front ,15-24,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Front ,45-54,Impaired,Male,Other,Other,No Controls,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Rear ,35-44,Normal,Female,Normal Movement,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Other,25-34,Distracted,Male,Driver Violation,Sign,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Left Turn,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Rear ,15-24,Distracted,Male,Normal Movement,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front ,25-34,Normal,Female,Driver Violation,Sign,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front Left,55-64,Distracted,Male,Driver Violation,Other,No Controls,Other,21-30 mph
